pavilion_id,name_canonical,duration_minutes,area,format
pav_america,アメリカ（米国）,25,エンパワーリングゾーン,
pav_uae,アラブ首長国連邦,15,エンパワーリングゾーン,
pav_austria,オーストリア,30,エンパワーリングゾーン,
pav_qatar,カタール,25,エンパワーリングゾーン,
pav_canada,カナダ,15,エンパワーリングゾーン,
pav_kuwait,クウェート,30,エンパワーリングゾーン,
pav_commons_a,コモンズ-A,,エンパワーリングゾーン,
pav_colombia,コロンビア,20,エンパワーリングゾーン,
pav_switzerland,スイス,20,エンパワーリングゾーン,
pav_czech,チェコ,30,エンパワーリングゾーン,
pav_turkmenistan,トルクメニスタン,20,エンパワーリングゾーン,
pav_bahrain,バーレーン,20,エンパワーリングゾーン,
pav_philippines,フィリピン,30,エンパワーリングゾーン,
pav_brazil,ブラジル,20,エンパワーリングゾーン,
pav_france,フランス,25,エンパワーリングゾーン,
pav_vietnam,ベトナム,15,エンパワーリングゾーン,
pav_peru,ペルー,15,エンパワーリングゾーン,
pav_portugal,ポルトガル,14,エンパワーリングゾーン,
pav_malta,マルタ,20,エンパワーリングゾーン,
pav_malaysia,マレーシア,19,エンパワーリングゾーン,
pav_myakumyaku,ミャクミャクハウス,,エンパワーリングゾーン,
pav_mozambique,モザンビーク,30,エンパワーリングゾーン,
pav_jordan,ヨルダン,10,エンパワーリングゾーン,
pav_robot_mobility,ロボット＆モビリティステーション,30,エンパワーリングゾーン,
pav_international_org,国際機関協同館,,エンパワーリングゾーン,
pav_redcross,国際赤十字・赤新月運動館,30,エンパワーリングゾーン,
pav_un,国連,20,エンパワーリングゾーン,
pav_china,中国,30,エンパワーリングゾーン,
pav_nordic,北欧館,20,エンパワーリングゾーン,
pav_expo_museum,万博博物館,,エンパワーリングゾーン,
pav_azerbaijan,アゼルバイジャン,20,コネクティングゾーン,
pav_indonesia,インドネシア,30,コネクティングゾーン,
pav_india,インド,30,コネクティングゾーン,
pav_uzbekistan,ウズベキスタン,20,コネクティングゾーン,
pav_egypt,エジプト,10,コネクティングゾーン,
pav_australia,オーストラリア,15,コネクティングゾーン,
pav_commons_b,コモンズ-B,,コネクティングゾーン,
pav_commons_f,コモンズ-F,,コネクティングゾーン,
pav_saudi,サウジアラビア,25,コネクティングゾーン,
pav_spain,スペイン,30,コネクティングゾーン,
pav_senegal,セネガル,20,コネクティングゾーン,
pav_serbia,セルビア,30,コネクティングゾーン,
pav_thailand,タイ,30,コネクティングゾーン,
pav_chad,チャド,,コネクティングゾーン,
pav_germany,ドイツ,40,コネクティングゾーン,
pav_turkey,トルコ,20,コネクティングゾーン,
pav_nepal,ネパール,,コネクティングゾーン,
pav_bangladesh,バングラデシュ,20,コネクティングゾーン,
pav_monaco,モナコ,60,コネクティングゾーン,
pav_earthnight,夜の地球,20,コネクティングゾーン,
pav_luxembourg,ルクセンブルク,30,コネクティングゾーン,
pav_korea,大韓民国（韓国）,20,コネクティングゾーン,
pav_bettercobeing,BetterCo-Being,45,シグネチャーゾーン,
pav_dialogue_theater,DialogueTheater-いのちのあかし-,55,シグネチャーゾーン,
pav_earthmart,EARTHMART,40,シグネチャーゾーン,
pav_null2,null²,30,シグネチャーゾーン,
pav_future_life,いのちの未来,60,シグネチャーゾーン,
pav_jellyfish,いのちの遊び場クラゲ館,37,シグネチャーゾーン,
pav_adventure,いのちめぐる冒険,50,シグネチャーゾーン,
pav_dynamic,いのち動的平衡館,15,シグネチャーゾーン,
pav_eu,EU,15,セービングゾーン,
pav_algeria,アルジェリア,20,セービングゾーン,
pav_angola,アンゴラ,,セービングゾーン,
pav_italy,イタリア,30,セービングゾーン,
pav_oman,オマーン,15,セービングゾーン,
pav_netherlands,オランダ,25,セービングゾーン,
pav_cambodia,カンボジア,15,セービングゾーン,
pav_commons_c,コモンズ-C,,セービングゾーン,
pav_commons_d,コモンズ-D,,セービングゾーン,
pav_commons_e,コモンズ-E,,セービングゾーン,
pav_singapore,シンガポール,20,セービングゾーン,
pav_tunisia,チュニジア,30,セービングゾーン,
pav_chile,チリ,15,セービングゾーン,
pav_balt,バルト,20,セービングゾーン,
pav_hungary,ハンガリー,15,セービングゾーン,
pav_bulgaria,ブルガリア,20,セービングゾーン,
pav_belgium,ベルギー,25,セービングゾーン,
pav_poland,ポーランド,40,セービングゾーン,
pav_romania,ルーマニア,30,セービングゾーン,
pav_uk,英国（イギリス）,20,セービングゾーン,
pav_futurelifevillage,フューチャーライフヴィレッジ,30,フューチャーライフゾーン,
pav_futurecity,未来の都市,35,フューチャーライフゾーン,
pav_blueoceandome,BLUEOCEANDOME,30,西ゲートゾーン,
pav_gundam, GUNDAMNEXTFUTUREPAVILION,50,西ゲートゾーン,
pav_utage,ORA外食パビリオン「宴～UTAGE～」,20,西ゲートゾーン,
pav_pasona,PASONANATUREVERSE,30,西ゲートゾーン,
pav_techworld,TECHWORLD,30,西ゲートゾーン,
pav_gaswonder,ガスパビリオンおばけワンダーランド,40,西ゲートゾーン,
pav_yoshimoto,よしもとwaraiimyraii館,30,西ゲートゾーン,
pav_iida,飯田グループ×大阪公立大学共同出展館,45,西ゲートゾーン,
pav_ntt,NTTPavilion,30,東ゲートゾーン,
pav_women,ウーマンズパビリオンincollaborationwithCartier,30,東ゲートゾーン,
pav_panasonic,パナソニックグループパビリオン「ノモの国」,60,東ゲートゾーン,
pav_kansai,関西パビリオン,60,東ゲートゾーン,
pav_mitsubishi,三菱未来館,60,東ゲートゾーン,
pav_sumitomo,住友館,65,東ゲートゾーン,
pav_osaka_health,大阪ヘルスケアパビリオン,60,東ゲートゾーン,
pav_denryoku,電力館可能性のタマゴたち,45,東ゲートゾーン,
pav_japan,日本館,40,東ゲートゾーン,
pav_ireland_1,アイルランド,30,エンパワーリングゾーン,
pav_asean,アセアン,,エンパワーリングゾーン,
pav_ireland_2,アイルランド,30,エンパワーリングゾーン,
