pavilion_name,duration_minutes,area,format
アメリカ（米国）,25,,
アラブ首長国連邦,15,,
オーストリア,30,,
カタール,25,,
カナダ,15,,
クウェート,30,,
コモンズ-A,,,
コロンビア,20,,
スイス,20,,
チェコ,30,,
トルクメニスタン,20,,
バーレーン,20,,
フィリピン,30,,
ブラジル,20,,
フランス,25,,
ベトナム,15,,
ペルー,15,,
ポルトガル,14,,
マルタ,20,,
マレーシア,19,,
ミャクミャクハウス,,,
モザンビーク,30,,
ヨルダン,10,,
ロボット＆モビリティステーション,30,,
国際機関協同館,,,
国際赤十字・赤新月運動館,30,,
国連,20,,
中国,30,,
北欧館,20,,
万博博物館,,,
アゼルバイジャン,20,,
インドネシア,30,,
インド,30,,
ウズベキスタン,20,,
エジプト,10,,
オーストラリア,15,,
コモンズ-B,,,
コモンズ-F,,,
サウジアラビア,25,,
スペイン,30,,
セネガル,20,,
セルビア,30,,
タイ,30,,
チャド,,,
ドイツ,40,,
トルコ,20,,
ネパール,,,
バングラデシュ,20,,
モナコ,60,,
夜の地球,20,,
ルクセンブルク,30,,
大韓民国（韓国）,20,,
BetterCo-Being,45,,
DialogueTheater-いのちのあかし-,55,,
EARTHMART,40,,
null²,30,,
いのちの未来,60,,
いのちの遊び場クラゲ館,37,,
いのちめぐる冒険,50,,
いのち動的平衡館,15,,
EU,15,,
アルジェリア,20,,
アンゴラ,,,
イタリア,30,,
オマーン,15,,
オランダ,25,,
カンボジア,15,,
コモンズ-C,,,
コモンズ-D,,,
コモンズ-E,,,
シンガポール,20,,
チュニジア,30,,
チリ,15,,
バルト,20,,
ハンガリー,15,,
ブルガリア,20,,
ベルギー,25,,
ポーランド,40,,
ルーマニア,30,,
英国（イギリス）,20,,
フューチャーライフヴィレッジ,30,,
未来の都市,35,,
BLUEOCEANDOME,30,,
GUNDAMNEXTFUTUREPAVILION,50,,
ORA外食パビリオン「宴～UTAGE～」,20,,
PASONANATUREVERSE,30,,
TECHWORLD,30,,
ガスパビリオンおばけワンダーランド,40,,
よしもとwaraiimyraii館,30,,
飯田グループ×大阪公立大学共同出展館,45,,
NTTPavilion,30,,
ウーマンズパビリオンincollaborationwithCartier,30,,
パナソニックグループパビリオン「ノモの国」,60,,
関西パビリオン,60,,
三菱未来館,60,,
住友館,65,,
大阪ヘルスケアパビリオン,60,,
電力館可能性のタマゴたち,45,,
日本館,40,,
アイルランド,30,,
アセアン,,,
アイルランド,30,,
