timestamp,pavilion_name,wait_time_raw,post_time_raw
2025-08-01T20:28:26.498900+09:00,アメリカ（米国）,1時間00分,42分前
2025-08-01T20:28:26.498926+09:00,アラブ首長国連邦,0時間10分以下,60分以上前
2025-08-01T20:28:26.498933+09:00,オーストリア,0時間30分,60分以上前
2025-08-01T20:28:26.498939+09:00,カタール,0時間10分以下,60分以上前
2025-08-01T20:28:26.498944+09:00,カナダ,0時間40分,60分以上前
2025-08-01T20:28:26.498949+09:00,クウェート,0時間40分,60分以上前
2025-08-01T20:28:26.498954+09:00,コモンズ-A,0時間10分以下,60分以上前
2025-08-01T20:28:26.498962+09:00,コロンビア,0時間15分,12分前
2025-08-01T20:28:26.498967+09:00,スイス,0時間50分,60分以上前
2025-08-01T20:28:26.498972+09:00,チェコ,0時間20分,60分以上前
2025-08-01T20:28:26.498977+09:00,トルクメニスタン,0時間20分,60分以上前
2025-08-01T20:28:26.498981+09:00,バーレーン,0時間20分,60分以上前
2025-08-01T20:28:26.498985+09:00,フィリピン,0時間30分,60分以上前
2025-08-01T20:28:26.498989+09:00,ブラジル,0時間20分,60分以上前
2025-08-01T20:28:26.498993+09:00,フランス,0時間20分,60分以上前
2025-08-01T20:28:26.498997+09:00,ベトナム,0時間10分以下,60分以上前
2025-08-01T20:28:26.499001+09:00,ペルー,0時間20分,60分以上前
2025-08-01T20:28:26.499008+09:00,ポルトガル,0時間10分以下,60分以上前
2025-08-01T20:28:26.499012+09:00,マルタ,0時間20分,60分以上前
2025-08-01T20:28:26.499016+09:00,マレーシア,0時間20分,60分以上前
2025-08-01T20:28:26.499020+09:00,ミャクミャクハウス,情報なし,情報なし
2025-08-01T20:28:26.499024+09:00,モザンビーク,0時間10分以下,60分以上前
2025-08-01T20:28:26.499028+09:00,ヨルダン,情報なし,情報なし
2025-08-01T20:28:26.499032+09:00,ロボット ＆モビリティ ステーション,情報なし,情報なし
2025-08-01T20:28:26.499042+09:00,国際機関協同館,情報なし,情報なし
2025-08-01T20:28:26.499047+09:00,国際赤十字 ・赤新月運動館,0時間30分,60分以上前
2025-08-01T20:28:26.499051+09:00,国連,情報なし,情報なし
2025-08-01T20:28:26.499056+09:00,中国,0時間20分,60分以上前
2025-08-01T20:28:26.499060+09:00,北欧館,0時間20分,60分以上前
2025-08-01T20:28:26.499064+09:00,万博博物館,情報なし,情報なし
2025-08-01T20:28:26.499067+09:00,アゼルバイジャン,0時間20分,60分以上前
2025-08-01T20:28:26.499072+09:00,インドネシア,0時間10分以下,60分以上前
2025-08-01T20:28:26.499075+09:00,インド,情報なし,情報なし
2025-08-01T20:28:26.499080+09:00,ウズベキスタン,0時間40分,60分以上前
2025-08-01T20:28:26.499084+09:00,エジプト,0時間40分,60分以上前
2025-08-01T20:28:26.499088+09:00,オーストラリア,0時間10分以下,46分前
2025-08-01T20:28:26.499092+09:00,コモンズ-B,情報なし,情報なし
2025-08-01T20:28:26.499096+09:00,コモンズ-F,0時間40分,60分以上前
2025-08-01T20:28:26.499100+09:00,サウジアラビア,0時間10分以下,60分以上前
2025-08-01T20:28:26.499103+09:00,スペイン,0時間10分以下,60分以上前
2025-08-01T20:28:26.499107+09:00,セネガル,情報なし,情報なし
2025-08-01T20:28:26.499111+09:00,セルビア,0時間30分,35分前
2025-08-01T20:28:26.499116+09:00,タイ,0時間15分,60分以上前
2025-08-01T20:28:26.499119+09:00,チャド,情報なし,情報なし
